RIC_Olink_1,RIC_Olink_2,RIC_Olink_3
10.81382,10.69755,11.15834
4.42903,4.19412,5.0068
6.47693,6.30489,6.2907
6.69983,6.46581,6.62046
5.08781,5.30196,5.27502
7.86121,7.63971,8.21681
2.80911,,2.90635
8.30349,7.97745,8.19214
1.07956,0.48793,1.19863
0,0,0
7.03387,7.1465,7.22801
4.26899,3.6012,3.81775
0.27028,,0.93688
3.56037,3.05015,3.60235
12.98333,12.88957,12.92448
1.32882,2.55878,2.07472
,2.0025,3.01975
2.32551,1.92347,1.82251
4.19007,,4.04815
8.08471,7.58605,8.13563
0.59556,0.32243,0.5407
4.46241,4.18985,4.23619
,2.21343,
0.29107,,0.11154
1.9294,1.30206,1.79363
8.89675,8.6488,8.83224
8.93466,8.8344,8.88803
3.60902,2.95583,3.38429
6.29779,5.58811,5.9276
4.3447,3.52441,3.60873
12.11775,11.46886,11.54796
3.74465,3.26917,3.28242
9.35306,8.76238,8.91755
-0.03972,-0.01546,0.00199
14.28312,13.6774,13.75292
1.66487,-0.10544,1.63427
6.64318,5.78086,6.16872
9.40284,9.03162,9.09719
3.1345,2.01845,2.79249
11.33921,10.72331,10.81427
10.24887,9.76428,9.85988
11.43207,10.83771,10.98291
2.57507,2.07462,2.5167
15.32046,14.45033,14.95283
-0.08489,0.00491,0.00487
10.79906,10.59661,10.70266
5.06928,4.53046,4.66194
6.52163,6.34166,6.13789
6.79339,6.30333,6.453
5.14474,4.88598,4.99628
7.91252,7.48071,7.89327
3.11156,,2.61494
8.39607,7.76402,7.93959
-0.3163,0.35841,0.1037
0,0,0
7.22032,6.79988,7.00428
4.35211,3.57172,3.23973
0.90256,,0.98083
3.88226,3.02138,2.83497
13.0363,12.58904,12.65088
2.63316,2.30918,2.01883
,1.51682,2.11267
2.12983,2.2639,1.68932
4.03429,,3.53721
8.14473,7.39128,7.84837
