SampleID,Assay,NPX_Run1,NPX_Run2,NPX_Run3,pg/mL_Run1,pg/mL_Run2,pg/mL_Run3
Sample_7,OMG,6.27263,5.51983,,105.6832,68.58479,
Sample_7,STX1B,4.11654,3.48997,,98.63337,61.15587,
Sample_7,NPTXR,11.89834,11.46926,,1815.40951,1336.87444,
Sample_7,SYT1,3.54201,3.30356,,15.38286,12.93139,
Sample_7,ENO2,9.33536,8.57125,,7351.46962,4527.44169,
Sample_7,Inc Ctrl,-0.10122,-0.02649,,,,
Sample_7,TREM1,14.21217,13.73708,,252.20463,178.59679,
Sample_7,S100B,1.40177,1.39848,,7.13717,7.10735,
Sample_7,DDAH1,6.26817,5.82836,,446.61799,340.62052,
Sample_7,KLK8,9.50377,9.04386,,1944.83027,1434.4328,
Sample_7,FOXO3,2.74077,2.20041,,26.30301,16.30678,
Sample_7,DDC,11.1828,10.72271,,1822.31641,1372.16001,
Sample_7,ITGAM,10.1283,9.71685,,9349.8547,6829.78146,
Sample_7,MMP10,11.39068,10.87067,,247.00623,174.79888,
Sample_7,SNCAIP,2.64116,2.54508,,5.92552,5.41377,
Sample_7,TREM2,15.10912,14.54236,,16962.7968,11517.42438,
Sample_7,Det Ctrl,0.04308,0.01295,,,,
Sample_7,ITGB2,10.93192,10.58442,,43459.23725,34950.2369,
Sample_7,SMOC1,4.73615,4.21452,,950.2901,713.93743,
Sample_7,BACE1,6.59818,6.35932,,635.06873,545.69006,
Sample_7,SCG2,6.68495,6.3518,,1944.97904,1582.40058,
Sample_7,BMP7,5.16921,5.02488,,2671.93535,2437.14199,
Sample_7,NPTX1,8.03632,7.57311,,7171.596,5437.71226,
Sample_7,HLA-DRA,2.6223,,,378.67461,,
Sample_7,EIF2AK2,8.08903,7.77342,,26809.15645,22279.22751,
Sample_7,LRRK2,-0.09226,-0.39915,,280.44751,196.45564,
Sample_7,Ext Ctrl,0,0,,,,
Sample_7,SDC4,7.09919,6.85366,,6039.80881,5149.13702,
Sample_7,NEFL,3.99041,3.44419,,524.25988,356.25275,
Sample_7,GDNF,1.18122,,,0.02169,,
Sample_7,CLSTN3,3.91052,3.41432,,436.48399,325.26003,
Sample_7,AGER,12.93426,12.65855,,1782.05776,1471.40627,
Sample_7,TP53,2.77004,1.78719,,0.41784,0.17041,
Sample_7,Abeta40,,2.11301,,,2.83784,
Sample_7,pTau217,2.44653,1.64459,,0.1968,0.09126,
Sample_7,GFAP,4.01389,,,14.28231,,
Sample_7,GLRX,7.98854,7.32154,,486.98514,316.28755,
Sample_7,WWOX,0.29526,0.07554,,0.1923,0.03451,
Sample_7,RTN4R,4.46388,3.97241,,523.15037,387.557,
Sample_7,Abeta42,,1.63015,,,7.81721,
Sample_7,NGF,0.29514,,,0.1473,,
Sample_7,NLGN1,1.13874,1.74034,,36.65019,82.85253,
Sample_7,NPTX2,8.83963,8.40312,,7334.70978,5557.30092,
Sample_7,MOG,8.83747,8.52835,,33.25221,27.35275,
Sample_8,VSNL1,3.49387,3.06713,,33.48961,24.27972,
Sample_8,OMG,6.39534,5.62425,,113.23004,72.90461,
Sample_8,STX1B,4.29785,3.72576,,112.46882,73.56729,
Sample_8,NPTXR,12.03382,11.45799,,2002.67157,1326.30571,
Sample_8,SYT1,3.78042,3.30243,,18.19175,12.92054,
Sample_8,ENO2,9.17972,8.70925,,6652.38927,4936.69837,
Sample_8,Inc Ctrl,0.0076,0.01427,,,,
Sample_8,TREM1,14.2601,13.60255,,261.2215,162.12518,
Sample_8,S100B,1.05312,1.04177,,4.41275,4.33782,
Sample_8,DDAH1,6.77085,5.76296,,606.31964,327.04804,
Sample_8,KLK8,9.38045,9.02687,,1790.89865,1418.60778,
Sample_8,FOXO3,2.75801,2.69043,,26.68259,25.21788,
Sample_8,DDC,11.27971,10.65852,,1935.24341,1319.16783,
Sample_8,ITGAM,10.16209,9.63462,,9600.33198,6424.54606,
Sample_8,MMP10,11.36812,10.80196,,243.3111,167.0287,
Sample_8,SNCAIP,2.49019,1.44022,,5.13678,1.56659,
Sample_8,TREM2,15.21967,14.36887,,18311.46892,10246.39502,
Sample_8,Det Ctrl,-0.10201,-0.11975,,,,
Sample_8,ITGB2,10.7461,10.49725,,38667.97329,33103.09606,
Sample_8,SMOC1,4.58036,4.25427,,873.12597,729.85473,
Sample_8,BACE1,6.73293,6.31558,,691.53808,530.68078,
Sample_8,SCG2,6.65071,6.18901,,1904.08638,1430.95721,
Sample_8,BMP7,5.39623,4.86454,,3082.76581,2198.02583,
Sample_8,NPTX1,7.84299,7.43839,,6387.55616,5018.76286,
Sample_8,HLA-DRA,2.73142,,,415.71252,,
Sample_8,EIF2AK2,8.29184,7.68915,,30222.24243,21209.78872,
Sample_8,LRRK2,0.84912,-1.95241,,687.51054,2.96099,
Sample_8,Ext Ctrl,0,0,,,,
Sample_8,SDC4,6.91593,6.8363,,5361.72426,5091.41169,
Sample_8,NEFL,3.83201,3.72325,,470.05729,435.55239,
Sample_8,GDNF,0.79455,,,0.00544,,
Sample_8,CLSTN3,3.96634,2.90316,,450.89788,237.26722,
Sample_8,AGER,12.88727,12.56526,,1724.56895,1379.6696,
Sample_8,TP53,2.72601,2.21717,,0.40272,0.2578,
Sample_8,Abeta40,,1.9058,,,2.31829,
Sample_8,pTau217,1.95046,1.42651,,0.12411,0.07228,
Sample_8,GFAP,4.27813,,,17.71446,,
Sample_8,GLRX,7.99037,7.32332,,487.57223,316.64492,
Sample_8,WWOX,-0.01083,0.31871,,,0.21313,
Sample_8,RTN4R,4.52147,3.84222,,541.61873,357.39684,
Sample_8,Abeta42,,1.22047,,,5.45992,
Sample_8,NGF,0.22472,,,0.10421,,
Sample_8,NLGN1,1.91711,1.31248,,101.52919,47.54367,
Sample_8,NPTX2,8.80865,8.30478,,7191.11704,5221.88398,
Sample_8,MOG,8.71317,8.40101,,30.737,25.24553,
Sample_9,VSNL1,3.56949,2.95741,2.68743,35.41678,22.31273,18.0592
Sample_9,OMG,6.28203,5.75221,5.17917,106.24453,78.52868,56.02202
Sample_9,STX1B,4.02225,3.67591,3.34209,92.02064,70.78648,54.27583
Sample_9,NPTXR,11.92294,11.42964,11.02271,1847.9579,1300.1007,979.24516
Sample_9,SYT1,3.77611,3.32089,2.93993,18.13758,13.0984,9.79132
Sample_9,ENO2,9.20416,8.77683,8.09699,6757.30802,5151.16967,3371.63633
Sample_9,Inc Ctrl,-0.16791,-0.01366,0.10221,,,
